ID,PERSONNEL_ID,PASSWORD_HASH,SALT,CREATED_AT,UPDATED_AT
5e6a0f2b-8c5d-4d39-9c2a-4c3a21e17f90,4f3cbad3-8358-4c4a-a3b2-7ff3c8b8b99e,"$argon2id$v=19$m=19456,t=2,p=1$vJ/Mlh7bfqg1K8rJ27sQKQ$M3IlVsY8afNyGoRL8wTZdUO8/ELUAVWJj87YU8UdSkA",10,2025-10-26T10:30:00,2025-10-26T10:30:00
b3d4177e-47e5-41de-b2c3-9f97a5a1e8a2,2b4a6c8e-8c02-43c6-9d89-fc1d6e1a3f9d,"$argon2id$v=19$m=19456,t=2,p=1$vJ/Mlh7bfqg1K8rJ27sQKQ$M3IlVsY8afNyGoRL8wTZdUO8/ELUAVWJj87YU8UdSkA",10,2025-10-26T10:30:00,2025-10-26T10:30:00
1c8b7c9a-95a6-46ea-ae19-0d3d8b6e1cb3,e3a6a91b-7e0f-4f9f-9083-57a5f7f7b0e2,"$argon2id$v=19$m=19456,t=2,p=1$vJ/Mlh7bfqg1K8rJ27sQKQ$M3IlVsY8afNyGoRL8wTZdUO8/ELUAVWJj87YU8UdSkA",10,2025-10-26T10:30:00,2025-10-26T10:30:00
0f4b92fa-6f64-4b6b-9b2b-47ac2dc16314,8e41e9cf-4e47-4a21-86bb-51bdf91b13dc,"$argon2id$v=19$m=19456,t=2,p=1$vJ/Mlh7bfqg1K8rJ27sQKQ$M3IlVsY8afNyGoRL8wTZdUO8/ELUAVWJj87YU8UdSkA",10,2025-10-26T10:30:00,2025-10-26T10:30:00
6e2a3a9d-8b01-4f68-9de1-3f5a1baf26b5,f2e3a3c0-8c89-46c2-b1b5-3b1c59dc5e3e,"$argon2id$v=19$m=19456,t=2,p=1$vJ/Mlh7bfqg1K8rJ27sQKQ$M3IlVsY8afNyGoRL8wTZdUO8/ELUAVWJj87YU8UdSkA",10,2025-10-26T10:30:00,2025-10-26T10:30:00
a1e74a73-1956-42b5-b174-7a54a2cbe2a1,6d0712ff-5b12-46cb-8cf9-c95b17a07ee1,"$argon2id$v=19$m=19456,t=2,p=1$vJ/Mlh7bfqg1K8rJ27sQKQ$M3IlVsY8afNyGoRL8wTZdUO8/ELUAVWJj87YU8UdSkA",10,2025-10-26T10:30:00,2025-10-26T10:30:00
d7c8e2f5-3f72-4f6a-8f44-6d81e0a5bc1e,734c8f76-f34a-4d58-8d25-3e4e6b372612,"$argon2id$v=19$m=19456,t=2,p=1$vJ/Mlh7bfqg1K8rJ27sQKQ$M3IlVsY8afNyGoRL8wTZdUO8/ELUAVWJj87YU8UdSkA",10,2025-10-26T10:30:00,2025-10-26T10:30:00
38d5a06e-bb61-4388-bc9a-0b7a7e1efb22,c7b1f4e2-03a5-4af2-b8a7-fc5670b6a09f,"$argon2id$v=19$m=19456,t=2,p=1$vJ/Mlh7bfqg1K8rJ27sQKQ$M3IlVsY8afNyGoRL8wTZdUO8/ELUAVWJj87YU8UdSkA",10,2025-10-26T10:30:00,2025-10-26T10:30:00
d6752368-0e3b-4527-9edf-c39bd96ee476,a6828e9d-ca0a-47ae-bd4a-c1e8a50ba1c7,"$argon2id$v=19$m=19456,t=2,p=1$vJ/Mlh7bfqg1K8rJ27sQKQ$M3IlVsY8afNyGoRL8wTZdUO8/ELUAVWJj87YU8UdSkA",10,2025-10-26T10:30:00,2025-10-26T10:30:00
f0b90792-950d-4382-bfd6-37cc2256a5ce,d3543f24-5ea3-42cb-ad4e-aa6389366a53,"$argon2id$v=19$m=19456,t=2,p=1$vJ/Mlh7bfqg1K8rJ27sQKQ$M3IlVsY8afNyGoRL8wTZdUO8/ELUAVWJj87YU8UdSkA",10,2025-10-26T10:30:00,2025-10-26T10:30:00
